DEGREE,SCORE_PA,PERCEPTION,PA1,R_PA1,PA2,R_PA2,PA3,R_PA3,PA4,R_PA4,PA5,R_PA5,PA6,R_PA6,PA7,R_PA7,PA8,R_PA8,PA9,R_PA9,PA10,R_PA10,SCORE_PB,VISUALIZATION,PB1,R_PB1,PB2,R_PB2,PB3,R_PB3,PB4,R_PB4,PB5,R_PB5,PB6,R_PB6,PB7,R_PB7,PB8,R_PB8,PB9,R_PB9,PB10,R_PB10
TE,4,6,B,Fallo,C,Fallo,A,Acierto,B,Fallo,C,Fallo,D,Acierto,B,Acierto,D,Fallo,B,Fallo,D,Acierto,3,Slides,A,Fallo,C,Fallo,A,Acierto,B,Fallo,C,Fallo,C,Fallo,B,Acierto,C,Acierto,B,Fallo,C,Fallo
AMSE,5,6.57,A,Fallo,C,Fallo,A,Acierto,D,Acierto,A,Acierto,C,Fallo,A,Fallo,C,Acierto,A,Acierto,B,Fallo,3,VR,C,Acierto,C,Fallo,C,Fallo,B,Fallo,C,Fallo,D,Acierto,A,Fallo,C,Acierto,B,Fallo,B,Fallo
AMSE,4,7.43,C,Acierto,C,Fallo,A,Acierto,C,Fallo,D,Fallo,C,Fallo,B,Acierto,B,Fallo,A,Acierto,B,Fallo,7,VR,C,Acierto,C,Fallo,A,Acierto,D,Acierto,D,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,C,Fallo
TE,3,4.57,A,Fallo,D,Fallo,A,Acierto,C,Fallo,A,Acierto,D,Acierto,A,Fallo,A,Fallo,,Fallo,C,Fallo,6,Slides,A,Fallo,B,Acierto,A,Acierto,C,Fallo,A,Acierto,D,Acierto,B,Acierto,C,Acierto,B,Fallo,B,Fallo
AMSE,3,7.14,B,Fallo,C,Fallo,C,Fallo,C,Fallo,D,Fallo,C,Fallo,D,Fallo,C,Acierto,A,Acierto,D,Acierto,1,VR,D,Fallo,A,Fallo,A,Acierto,C,Fallo,B,Fallo,C,Fallo,,Fallo,B,Fallo,D,Fallo,C,Fallo
TE,1,4.57,A,Fallo,C,Fallo,A,Acierto,B,Fallo,C,Fallo,C,Fallo,A,Fallo,A,Fallo,D,Fallo,B,Fallo,3,VR,A,Fallo,C,Fallo,B,Fallo,D,Acierto,A,Acierto,D,Acierto,,Fallo,D,Fallo,B,Fallo,B,Fallo
TE,8,8,C,Acierto,B,Acierto,A,Acierto,C,Fallo,A,Acierto,B,Fallo,B,Acierto,C,Acierto,A,Acierto,D,Acierto,8,VR,C,Acierto,B,Acierto,A,Acierto,C,Fallo,A,Acierto,D,Acierto,B,Acierto,C,Acierto,C,Fallo,D,Acierto
TE,3,6.57,A,Fallo,C,Fallo,A,Acierto,D,Acierto,C,Fallo,,Fallo,B,Acierto,,Fallo,B,Fallo,,Fallo,5,Slides,C,Acierto,B,Acierto,A,Acierto,C,Fallo,C,Fallo,D,Acierto,D,Fallo,C,Acierto,,Fallo,,Fallo
TE,4,5.43,D,Fallo,B,Acierto,A,Acierto,B,Fallo,C,Fallo,,Fallo,B,Acierto,D,Fallo,,Fallo,D,Acierto,6,Slides,A,Fallo,B,Acierto,A,Acierto,D,Acierto,B,Fallo,D,Acierto,B,Acierto,A,Fallo,A,Acierto,B,Fallo
TE,4,5.43,B,Fallo,C,Fallo,C,Fallo,B,Fallo,C,Fallo,D,Acierto,B,Acierto,C,Acierto,B,Fallo,D,Acierto,7,Slides,B,Fallo,B,Acierto,A,Acierto,B,Fallo,A,Acierto,D,Acierto,A,Fallo,C,Acierto,A,Acierto,D,Acierto
